track_id,track title,album id,artist id,artist name,track duration,track genre_top,track genres,track genres_all,track language_code,audio_features acousticness,audio_features danceability,audio_features energy,audio_features instrumentalness,audio_features liveness,audio_features speechiness,audio_features tempo,social_features artist_hotttnesss,social_features song_hotttnesss
2,Food,1,1,AWOL,168,Hip-Hop,[21],[21],en,0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712,0.1593100648,165.9220000000,0.4063700000,0.0000000000
3,Electric Ave,1,1,AWOL,237,Hip-Hop,[21],[21],en,0.3744077685,0.5286430621,0.8174611317,0.0018511032,0.1058799438,0.4618181276,126.9570000000,0.4063700000,0.0000000000
5,This World,1,1,AWOL,206,Hip-Hop,[21],[21],en,0.0435668989,0.7455658702,0.7014699916,0.0006967990,0.3731433124,0.1245953419,100.2600000000,0.4063700000,0.0000000000
10,Freeway,6,6,Kurt Vile,161,Pop,[10],[10],en,0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.5620000000,0.7983870000,0.3545160000
20,Spiritual Level,4,4,Nicky Cook,311,,"[76, 103]","[17, 10, 76, 103]",en,0.4522173071,0.5132380502,0.5604099311,0.0194426943,0.0965666940,0.5255193792,114.2900000000,0.4063700000,0.0000000000
26,Where is your Love?,4,4,Nicky Cook,181,,"[76, 103]","[17, 10, 76, 103]",en,0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.2236762711,0.0305692764,196.9610000000,0.4063000000,0.0385500000
30,Too Happy,4,4,Nicky Cook,174,,"[76, 103]","[17, 10, 76, 103]",en,0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222,0.0390682262,107.9520000000,0.4063000000,0.0000000000
46,Yosemite,4,4,Nicky Cook,104,,"[76, 103]","[17, 10, 76, 103]",en,0.9636568796,0.4359329980,0.0756321472,0.3454934909,0.1056858694,0.0266578493,33.4770000000,0.4063000000,0.0385500000
48,Light of Light,4,4,Nicky Cook,205,,"[76, 103]","[17, 10, 76, 103]",en,0.6628811246,0.3790654766,0.8238557796,0.9102661844,0.0887052551,0.0790903546,147.7810000000,0.4063000000,0.0385500000
134,Street Music,1,1,AWOL,207,Hip-Hop,[21],[21],en,0.9090114288,0.4436425913,0.6419971681,0.9240916996,0.2676694513,0.0896589132,128.5370000000,0.2636570000,0.0385000000
135,Father's Day,58,52,Abominog,837,Rock,"[45, 58]","[58, 12, 45]",en,0.2355061866,0.4386716924,0.4877519875,0.7161218401,0.0703593076,0.0472977720,120.7900000000,0.2636570000,0.0000000000
136,Peel Back The Mountain Sky,58,52,Abominog,509,Rock,"[45, 58]","[58, 12, 45]",en,0.5320194932,0.4176809211,0.4764224981,0.4025004064,0.1721046690,0.0353607215,135.4680000000,0.2636570000,0.0385000000
137,Side A,59,53,Airway,1233,Experimental,"[1, 32]","[32, 1, 38]",en,0.7784099162,0.7066810633,0.8661160135,0.8067025985,0.1046498167,0.0650834651,120.2180000000,0.2636570000,0.0000000000
138,Side B,59,53,Airway,1231,Experimental,"[1, 32]","[32, 1, 38]",en,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.1213420000,0.0517397623,90.2410000000,0.2744550000,0.0443000000
139,CandyAss,60,54,Alec K. Redfearn & the Eyesores,296,Folk,[17],[17],en,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,53.7580000000,0.2744550000,0.0702130000
140,Queen Of The Wires,61,54,Alec K. Redfearn & the Eyesores,253,Folk,[17],[17],en,0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.9120000000,0.2744550000,0.0000000000
141,Ohio,60,54,Alec K. Redfearn & the Eyesores,182,Folk,[17],[17],en,0.9891411750,0.2259775281,0.7228348527,0.2630762793,0.0923705318,0.0534063523,94.3220000000,0.2879890000,0.0394310000
142,Punjabi Watery Grave,62,54,Alec K. Redfearn & the Eyesores,470,Folk,[17],[17],en,0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.1395870184,0.0887810414,97.8800000000,0.2879890000,0.0000000000
144,Wire Up,64,56,Amoebic Ensemble,82,Jazz,[4],[4],en,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.6450000000,0.2879890000,0.0394310000
145,Amoebiasis,64,56,Amoebic Ensemble,326,Jazz,[4],[4],en,0.8155489042,0.1441250712,0.8927211866,0.9004301244,0.1047034668,0.1022936576,138.6800000000,0.2879890000,0.0394310000
146,Gimme a Buck or I'll Touch You / Boilermaker,65,56,Amoebic Ensemble,354,Jazz,[4],[4],en,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.5520000000,0.2879890000,0.0624970000
147,Repetitive Motion Sickness,65,56,Amoebic Ensemble,232,Jazz,[4],[4],en,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.1989439803,0.4626074726,70.8870000000,0.2879890000,0.0624970000
148,Blackout 2,66,57,Contradiction,138,Experimental,[1],"[1, 38]",en,0.9939276168,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439071,69.4130000000,0.2879890000,0.0000000000
149,Outside the window bees buzzed...,67,58,Andy Hayleck,988,Experimental,[1],"[1, 38]",en,0.8335160135,0.2065092789,0.7791404870,0.9408410856,0.3723113985,0.0772271448,123.5830000000,0.2879890000,0.0394310000
150,... listening to the sunshine burn the grass,67,58,Andy Hayleck,1182,Experimental,[1],"[1, 38]",en,0.7542752993,0.2091129065,0.5799592774,0.7368654346,0.1121648933,0.0733502023,95.9320000000,0.2879890000,0.0624970000
151,Untitled 04,68,59,Animal Writes,192,Rock,[25],"[25, 12]",en,0.9955533218,0.1861459299,0.4130542364,0.9551374475,0.1117162764,0.0408925050,61.3160000000,0.2879890000,0.0000000000
152,Untitled 11,68,59,Animal Writes,193,Rock,[25],"[25, 12]",en,0.9588732916,0.2746088553,0.9894824701,0.9193623081,0.5465156876,0.1853163118,84.1730000000,0.2879890000,0.0624970000
153,Hundred-Year Flood,69,60,Arc and Sender,405,Rock,[26],"[26, 12]",en,0.9936702086,0.6225780356,0.2169068780,0.9728700043,0.1109893491,0.0299235029,92.1240000000,0.4448550000,0.0000000000
154,Squares And Circles,69,60,Arc and Sender,319,Rock,[26],"[26, 12]",en,0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942,0.0325288108,100.9190000000,0.4448550000,0.0000000000
155,Maps of the Stars Homes,70,60,Arc and Sender,756,Rock,[26],"[26, 12]",en,0.9824639154,0.2865572933,0.2383479416,0.9429368516,0.0974932193,0.0299079097,115.2920000000,0.4448550000,0.0000000000
156,Track 01,71,546,Area C,122,Experimental,[30],"[38, 30]",en,0.9928656425,0.6538475650,0.0441512437,0.3384042114,0.1127408309,0.8453119277,129.6730000000,0.4448550000,0.0000000000
157,Track 02,71,546,Area C,212,Experimental,[30],"[38, 30]",en,0.9140388753,0.6406010435,0.1640712523,0.7605621934,0.2583990328,0.0992103212,49.8310000000,0.4448550000,0.0000000000
158,Track 03,71,546,Area C,473,Experimental,[30],"[38, 30]",en,0.9929059493,0.4947301766,0.2003375585,0.6180868520,0.0864499383,0.0389377953,103.7790000000,0.4448550000,0.0000000000
159,Track 04,71,546,Area C,221,Experimental,[30],"[38, 30]",en,0.9894955507,0.4939894562,0.1845083868,0.9684166432,0.1165945871,0.0423415399,50.1680000000,0.4448550000,0.0000000000
160,Track 05,71,546,Area C,70,Experimental,[30],"[38, 30]",en,0.9954594975,0.3700605051,0.1467337752,0.9728133564,0.1178278324,0.0357200319,107.3460000000,0.4448550000,0.0000000000
161,Track 06,71,546,Area C,147,Experimental,[30],"[38, 30]",en,0.9835851840,0.6026565649,0.0070436969,0.7917134418,0.0800219127,0.4211134428,128.6980000000,0.4448550000,0.0000000000
162,Track 07,71,546,Area C,270,Experimental,[30],"[38, 30]",en,0.9947583569,0.4444766366,0.2542024555,0.9073222684,0.1381990807,0.0326918427,107.6050000000,0.4448550000,0.0000000000
163,Track 08,71,546,Area C,307,Experimental,[30],"[38, 30]",en,0.8370462240,0.6526869632,0.2081522129,0.9139808956,0.0981069079,0.0445847109,86.5360000000,0.4448550000,0.0000000000
164,Track 09,71,546,Area C,236,Experimental,[30],"[38, 30]",en,0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.1700761208,0.0378251053,200.3910000000,0.4448550000,0.0638420000
165,Track 10,71,546,Area C,185,Experimental,[30],"[38, 30]",en,0.9918128928,0.4618548710,0.5437512413,0.9649222620,0.1370064320,0.0256877097,93.9450000000,0.4448550000,0.0000000000
166,Track 11,71,546,Area C,392,Experimental,[30],"[38, 30]",en,0.9948479146,0.5716589366,0.2114205223,0.9688926849,0.1201000045,0.0354200879,111.0070000000,0.4448550000,0.0000000000
167,Track 12,71,546,Area C,278,Experimental,[30],"[38, 30]",en,0.9927647775,0.5889867604,0.1379182946,0.0873760557,0.0957687898,0.0584639744,122.3100000000,0.4448550000,0.0000000000
168,Track 13,71,546,Area C,60,Experimental,[30],"[38, 30]",en,0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575,0.0394289715,105.0120000000,0.4448550000,0.0000000000
169,Boss of Goth,72,62,Argumentix,144,Rock,[25],"[25, 12]",en,0.9955932412,0.2908936588,0.1339981544,0.9656158960,0.1017310561,0.0322284321,103.4250000000,0.4448550000,0.0000000000
170,Industry Standard Massacre,73,62,Argumentix,181,Rock,[25],"[25, 12]",en,0.9956487221,0.4031290025,0.2098922735,0.9728700043,0.1285097640,0.0380096668,119.0730000000,0.4448550000,0.0000000000
171,Marching as Technitions,74,62,Argumentix,80,Rock,[25],"[25, 12]",en,0.9872581156,0.6337333928,0.0089874678,0.9100815700,0.1079745759,0.2486733219,49.5810000000,0.4448550000,0.0000000000
172,I Can't Stand You Up-right,75,62,Argumentix,206,Rock,[25],"[25, 12]",en,0.9857274225,0.4165116076,0.3633095777,0.7833436078,0.2084982689,0.0331775203,110.5790000000,0.4448550000,0.0000000000
173,Save Life's Golden Receipt In Case Refund Needed,72,62,Argumentix,218,Rock,[25],"[25, 12]",en,0.9952728476,0.4806609025,0.5754643724,0.8969551174,0.3691566896,0.0800619340,96.0530000000,0.4448550000,0.0000000000
174,Senator's Stance,72,62,Argumentix,199,Rock,[25],"[25, 12]",en,0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942,0.0344977278,96.8450000000,0.4448550000,0.0000000000
175,Snapped Today,73,62,Argumentix,111,Rock,[25],"[25, 12]",en,0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741,0.0298381006,95.1050000000,0.4448550000,0.0000000000
176,Step Up to Legends,74,62,Argumentix,160,Rock,[25],"[25, 12]",en,0.8440504744,0.6687378163,0.3569577601,0.0298648372,0.6185204718,0.0289271098,100.1170000000,0.4448550000,0.0000000000
177,Petty Hate Machine,72,62,Argumentix,129,Rock,[25],"[25, 12]",en,0.9337410350,0.3127198225,0.3409990466,0.9192423237,0.0829758431,0.0327452360,142.4990000000,0.5322230000,0.2141640000
178,Lend Me a Blanket,76,62,Argumentix,259,Rock,[25],"[25, 12]",en,0.1325832964,0.5411565335,0.7572551846,0.8826174388,0.0994326594,0.0292159697,144.8080000000,0.2804150000,0.0433130000
179,Ready to Die,77,62,Argumentix,90,Rock,[25],"[25, 12]",en,0.0167591241,0.3619554496,0.8723790415,0.9227753650,0.1517730900,0.0386009300,146.5460000000,0.2804150000,0.0000000000
181,Gopacapulco,79,64,Ariel Pink's Haunted Graffiti,171,Rock,[27],"[27, 12]",en,0.2300126484,0.8489183547,0.4449207172,0.8200668647,0.1626059387,0.1017437726,120.0950000000,0.2704700000,0.0000000000
182,Jules Lost His Jewels,80,64,Ariel Pink's Haunted Graffiti,228,Rock,[27],"[27, 12]",en,0.9683181687,0.3062691187,0.5410397893,0.9562061822,0.0887635206,0.1182327158,130.9960000000,0.3139120000,0.0000000000
183,For Kate I Wait,81,64,Ariel Pink's Haunted Graffiti,260,Rock,[27],"[27, 12]",en,0.9761979688,0.2457860290,0.2869405462,0.9614360163,0.1162166007,0.0487983354,81.8690000000,0.3139120000,0.0000000000
184,Helen,82,64,Ariel Pink's Haunted Graffiti,254,Rock,[27],"[27, 12]",en,0.9933968022,0.4419715548,0.4848943949,0.9382926990,0.0928928461,0.0449218687,133.1960000000,0.3483800000,0.0000000000
185,Want Me,83,64,Ariel Pink's Haunted Graffiti,143,,"[27, 76]","[10, 27, 12, 76]",en,0.9797552518,0.3717837511,0.5234081405,0.9688381615,0.1094469618,0.0703791312,168.6060000000,0.3483800000,0.0000000000
188,Piano 1,84,127,Ed Askew,44,Folk,[17],[17],en,0.9931880002,0.7101448519,0.2506732431,0.9463424718,0.1059124645,0.0364616413,111.2280000000,0.3483800000,0.0000000000
189,The Thought Of It,85,127,Ed Askew,283,Folk,[17],[17],en,0.9873281737,0.7035909913,0.4357120518,0.9017230301,0.1137581203,0.0676240084,122.8110000000,0.3483800000,0.0000000000
190,Castle Of Stars,84,127,Ed Askew,249,Folk,[17],[17],en,0.4302465419,0.2620499343,0.9720856699,0.8966929619,0.4073435898,0.1512449550,118.2810000000,0.4903480000,0.0000000000
191,Song About Michael,85,127,Ed Askew,224,Folk,[17],[17],en,0.3570855747,0.1893451584,0.9397064969,0.9456612187,0.1468501128,0.0640669936,83.9590000000,0.4903480000,0.0000000000
192,Ed Talk WNYC,85,127,Ed Askew,40,Folk,[17],[17],en,0.0614753069,0.2876325615,0.9386526141,0.8752996372,0.1165203541,0.0906159476,119.8030000000,0.4903480000,0.0000000000
193,Here With You,84,127,Ed Askew,254,Folk,[17],[17],en,0.9229070257,0.4408680304,0.2434517278,0.8597139689,0.1147383417,0.3378157945,129.5980000000,0.4540900000,0.0000000000
194,All I want to Do,84,127,Ed Askew,192,Folk,[17],[17],en,0.8656867699,0.2788749499,0.0669245556,0.9149633131,0.1115463316,0.0341102691,143.1140000000,0.4540900000,0.0000000000
195,I Remember You,85,127,Ed Askew,339,Folk,[17],[17],en,0.7642476101,0.7331117168,0.0794868304,0.9354613429,0.1116406310,0.0425287750,108.1310000000,0.4540900000,0.0000000000
196,Bright Mr Brother,85,127,Ed Askew,170,Folk,[17],[17],en,0.9679604945,0.3043261534,0.3425785835,0.7606700274,0.1111363680,0.0444210503,142.3420000000,0.4540900000,0.0000000000
